1705417280 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
1705417280 r b swpd free inact active si so bi bo in cs us sy id wa st
1705417280 7 0 0 62425512 720848 799816 0 0 27 171 66 95 1 0 99 0 0
1705417281 1 0 0 62425076 720860 801068 0 0 0 0 281 150 0 0 100 0 0
1705417282 1 0 0 62425084 720868 801300 0 0 0 0 545 394 0 0 100 0 0
1705417283 0 0 0 62425304 720868 801248 0 0 0 0 507 444 0 0 100 0 0
1705417284 0 0 0 62423972 720872 801348 0 0 0 0 556 437 0 0 100 0 0
1705417285 0 0 0 62423344 720872 801216 0 0 0 0 622 420 0 0 100 0 0
1705417286 0 0 0 62423908 720872 801224 0 0 0 24 555 392 0 0 100 0 0
1705417287 0 0 0 62424500 720872 801320 0 0 0 0 542 360 0 0 100 0 0
1705417288 26 0 0 61813388 720880 1388112 0 0 0 0 3671 5904 39 4 56 0 0
1705417289 1 0 0 61356788 720900 1841076 0 0 0 0 3182 3849 54 4 42 0 0
1705417290 4 0 0 61343660 720904 1850968 0 0 0 0 1447 998 2 0 98 0 0
1705417291 1 0 0 61335976 720904 1857228 0 0 0 0 1629 961 1 0 99 0 0
1705417292 1 0 0 61329452 720904 1862064 0 0 0 52 1621 961 1 0 99 0 0
1705417293 1 0 0 61322984 720904 1867488 0 0 0 0 1568 1003 0 0 99 0 0
1705417294 1 0 0 61316428 720908 1872320 0 0 0 0 1618 1065 1 0 99 0 0
1705417295 1 0 0 61309992 720908 1877544 0 0 0 60 1535 1014 1 0 99 0 0
1705417296 1 0 0 61323976 720908 1859172 0 0 0 0 2314 1412 1 0 99 0 0
1705417297 1 0 0 61368148 720912 1811396 0 0 0 68 3252 1978 1 0 98 0 0
1705417298 1 0 0 61369520 720912 1814136 0 0 0 0 1884 1257 1 0 99 0 0
1705417299 1 0 0 61367208 720912 1818500 0 0 0 0 1576 1004 0 0 99 0 0
1705417300 1 0 0 61362288 720916 1823436 0 0 0 0 1622 1061 1 0 99 0 0
1705417301 1 0 0 61356720 720916 1828476 0 0 0 0 1542 1019 1 0 99 0 0
1705417302 2 0 0 61373772 720916 1808080 0 0 0 0 2067 1396 1 0 99 0 0
1705417303 1 0 0 61605856 720920 1572120 0 0 0 28 6889 4083 1 1 98 0 0
1705417304 0 0 0 61677312 720920 1500716 0 0 0 0 3189 2039 1 0 99 0 0
1705417305 2 0 0 61682020 720920 1495300 0 0 0 0 2231 1305 1 0 99 0 0
1705417306 2 0 0 61684792 720924 1492184 0 0 0 0 2099 1367 2 0 98 0 0
1705417307 1 0 0 61682640 720924 1497084 0 0 0 0 1582 1077 1 0 99 0 0
1705417308 1 0 0 61679412 720924 1504796 0 0 0 24 2023 1477 1 0 99 0 0
1705417309 2 0 0 62076296 720960 1125264 0 0 0 0 2337 1871 1 0 99 0 0
1705417310 1 0 0 62422204 720936 801624 0 0 0 0 1576 1168 0 0 100 0 0
1705417311 1 0 0 62423416 720936 801236 0 0 0 0 538 374 0 0 100 0 0
1705417312 1 0 0 62423772 720940 801396 0 0 0 0 566 372 0 0 100 0 0
1705417313 1 0 0 62423756 720940 801560 0 0 0 0 602 367 0 0 100 0 0
1705417314 1 0 0 62423752 720940 801652 0 0 0 0 563 399 0 0 100 0 0
1705417315 1 0 0 62423724 720944 801340 0 0 0 0 536 370 0 0 100 0 0
1705417316 2 0 0 62423128 720944 801468 0 0 0 0 563 359 0 0 100 0 0
1705417317 1 0 0 62424160 720944 801684 0 0 0 0 561 392 0 0 100 0 0
1705417318 1 0 0 62423508 720948 801688 0 0 0 0 567 427 0 0 100 0 0
1705417319 1 0 0 62423628 720948 801504 0 0 0 0 610 453 0 0 100 0 0
1705417320 1 0 0 62424044 720948 801520 0 0 0 0 546 380 0 0 100 0 0
1705417321 1 0 0 62422044 720952 801572 0 0 0 0 567 406 0 0 100 0 0
1705417322 1 0 0 62422664 720952 801900 0 0 0 0 572 391 0 0 100 0 0
1705417323 2 0 0 62422752 720952 801392 0 0 0 0 575 373 0 0 100 0 0
1705417324 1 0 0 62421228 720956 802016 0 0 0 0 522 357 0 0 100 0 0
1705417325 1 0 0 62423032 720956 801608 0 0 0 40 474 343 0 0 100 0 0
