1705418104 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
1705418104 r b swpd free inact active si so bi bo in cs us sy id wa st
1705418104 6 0 0 63104744 721844 799756 0 0 15 94 100 92 1 0 98 0 0
1705418105 1 0 0 63104972 721844 800164 0 0 0 0 283 167 0 0 100 0 0
1705418106 1 0 0 63104308 721864 801548 0 0 0 0 577 415 0 0 100 0 0
1705418107 1 0 0 63103968 721864 801500 0 0 0 0 523 355 0 0 100 0 0
1705418108 1 0 0 63103644 721864 801460 0 0 0 0 519 360 0 0 100 0 0
1705418109 0 0 0 63103280 721868 801580 0 0 0 0 635 363 0 0 100 0 0
1705418110 0 0 0 63103644 721868 801528 0 0 0 0 608 419 0 0 100 0 0
1705418111 0 0 0 63102736 721868 801504 0 0 0 0 572 353 0 0 100 0 0
1705418112 24 0 0 62495828 721876 1386676 0 0 0 0 3644 5710 40 4 57 0 0
1705418113 1 0 0 62016416 721984 1858836 0 0 0 0 5593 5219 59 4 37 0 0
1705418114 1 0 0 61977036 721988 1894536 0 0 0 0 7581 3780 3 0 97 0 0
1705418115 1 0 0 61912608 721988 1950388 0 0 0 12 9925 5706 5 1 94 0 0
1705418116 3 0 0 61909692 721988 1951128 0 0 0 0 9033 4719 5 1 95 0 0
1705418117 3 0 0 61899084 721988 1962156 0 0 0 0 9080 4745 6 0 94 0 0
1705418118 3 0 0 61896316 721992 1966248 0 0 0 0 8928 4809 4 1 96 0 0
1705418119 1 0 0 61884928 721992 1978716 0 0 0 0 9313 4912 4 1 96 0 0
1705418120 2 0 0 61875636 721996 1984692 0 0 0 0 10250 6393 4 1 95 0 0
1705418121 2 0 0 61874208 722000 1984352 0 0 0 0 8937 4937 3 1 96 0 0
1705418122 3 0 0 61869672 722000 1988792 0 0 0 0 8766 4858 4 1 96 0 0
1705418123 1 0 0 61867288 722000 1991428 0 0 0 0 8949 4951 4 1 96 0 0
1705418124 2 0 0 61866248 722004 1992468 0 0 0 0 8870 4890 3 0 97 0 0
1705418125 2 0 0 61864900 722004 1993320 0 0 0 244 8765 4872 3 0 97 0 0
1705418126 2 0 0 61860976 722004 1997812 0 0 0 0 9253 5570 4 1 96 0 0
1705418127 1 0 0 61859532 722008 1998000 0 0 0 0 8924 4926 2 0 98 0 0
1705418128 2 0 0 61860308 722008 1997788 0 0 0 0 9011 4907 4 1 96 0 0
1705418129 2 0 0 61889004 722008 1968084 0 0 0 0 9905 5314 3 1 97 0 0
1705418130 6 0 0 61890868 722012 1970044 0 0 0 0 9307 5141 4 0 96 0 0
1705418131 1 0 0 61886764 722016 1972188 0 0 0 0 9125 5038 3 0 96 0 0
1705418132 2 0 0 61879756 722016 1980272 0 0 0 0 9367 5493 4 0 95 0 0
1705418133 1 0 0 61877972 722020 1980512 0 0 0 0 6199 3462 2 0 98 0 0
1705418134 1 0 0 63098880 722040 801980 0 0 0 0 3264 2504 0 1 99 0 0
1705418135 1 0 0 63100036 722040 801596 0 0 0 0 585 379 0 0 100 0 0
1705418136 1 0 0 63101276 722092 801784 0 0 0 64 598 383 0 0 100 0 0
1705418137 1 0 0 63101404 722092 801840 0 0 0 0 518 367 0 0 100 0 0
1705418138 1 0 0 63101616 722092 801852 0 0 0 0 649 526 0 0 100 0 0
1705418139 1 0 0 63101428 722096 801780 0 0 0 0 623 430 0 0 100 0 0
1705418140 1 0 0 63100732 722096 802168 0 0 0 0 660 383 0 0 100 0 0
1705418141 6 0 0 63100140 722096 802032 0 0 0 0 513 370 0 0 100 0 0
1705418142 2 0 0 63100680 722100 802080 0 0 0 0 683 450 0 0 100 0 0
1705418143 1 0 0 63101112 722100 801556 0 0 0 0 591 380 0 0 100 0 0
1705418144 1 0 0 63100772 722100 802112 0 0 0 0 532 363 0 0 100 0 0
1705418145 1 0 0 63101184 722104 801572 0 0 0 0 598 377 0 0 100 0 0
1705418146 1 0 0 63100700 722104 802132 0 0 0 124 618 402 0 0 100 0 0
1705418147 1 0 0 63101440 722104 801748 0 0 0 0 553 377 0 0 100 0 0
1705418148 1 0 0 63100716 722108 802340 0 0 0 0 551 331 0 0 100 0 0
1705418149 1 0 0 63100860 722108 801816 0 0 0 0 535 364 0 0 100 0 0
1705418150 1 0 0 63100908 722112 802180 0 0 0 0 566 396 0 0 100 0 0
1705418151 2 0 0 63101700 722116 801700 0 0 0 0 739 471 0 0 100 0 0
