1705417809 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
1705417809 r b swpd free inact active si so bi bo in cs us sy id wa st
1705417809 7 0 0 63105140 719832 799928 0 0 18 113 82 88 1 0 98 0 0
1705417810 1 0 0 63105008 719848 801708 0 0 0 0 301 197 0 0 100 0 0
1705417811 1 0 0 63104456 719852 801800 0 0 0 0 707 564 0 0 100 0 0
1705417812 1 0 0 63104572 719852 801876 0 0 0 0 581 387 0 0 100 0 0
1705417813 0 0 0 63104428 719852 801852 0 0 0 0 656 394 0 0 100 0 0
1705417814 0 0 0 63104576 719856 801920 0 0 0 0 636 390 0 0 100 0 0
1705417815 0 0 0 63104260 719856 801832 0 0 0 0 599 363 0 0 100 0 0
1705417816 0 0 0 63104520 719856 801928 0 0 0 0 490 374 0 0 100 0 0
1705417817 31 0 0 62473108 719864 1406936 0 0 0 0 3576 6138 41 4 55 0 0
1705417818 2 0 0 62017432 719960 1857588 0 0 0 52 4848 4537 55 4 41 0 0
1705417819 1 0 0 61988808 719964 1883984 0 0 0 0 5822 3137 3 0 97 0 0
1705417820 1 0 0 61941508 719964 1923156 0 0 0 44 6685 3875 3 1 97 0 0
1705417821 3 0 0 61905784 719964 1956872 0 0 0 0 6895 4282 3 1 96 0 0
1705417822 1 0 0 61906436 719964 1952268 0 0 0 0 6791 3733 3 0 96 0 0
1705417823 1 0 0 61902432 719968 1961488 0 0 0 0 6750 3694 4 0 96 0 0
1705417824 1 0 0 61897204 719968 1964012 0 0 0 0 6517 3574 4 0 96 0 0
1705417825 1 0 0 61917168 719968 1943316 0 0 0 0 7342 4195 3 0 96 0 0
1705417826 1 0 0 61911120 719972 1954796 0 0 0 0 6573 3664 3 0 97 0 0
1705417827 1 0 0 61904000 719972 1961020 0 0 0 0 6479 3578 2 0 97 0 0
1705417828 1 0 0 61889404 719972 1976296 0 0 0 0 6912 4390 3 1 96 0 0
1705417829 1 0 0 61881920 719976 1983108 0 0 0 0 6851 4087 2 0 98 0 0
1705417830 1 0 0 61879140 719976 1983412 0 0 0 0 6517 3617 2 0 98 0 0
1705417831 3 0 0 61876036 719976 1986336 0 0 0 0 6430 3585 3 0 97 0 0
1705417832 5 0 0 61869632 719980 1990728 0 0 0 0 6507 3686 2 0 97 0 0
1705417833 1 0 0 61867756 719980 1991224 0 0 0 0 6440 3627 2 0 98 0 0
1705417834 1 0 0 61924404 719980 1929840 0 0 0 0 8381 4851 3 0 97 0 0
1705417835 6 0 0 61932036 719984 1924484 0 0 0 0 7248 4192 3 0 96 0 0
1705417836 1 0 0 61929792 719984 1928140 0 0 0 0 6560 3805 2 0 98 0 0
1705417837 1 0 0 61925460 719988 1933932 0 0 0 0 6890 4365 2 0 97 0 0
1705417838 1 0 0 61924248 719992 1935304 0 0 0 0 4398 2616 1 0 98 0 0
1705417839 1 0 0 63099068 720040 802084 0 0 0 0 3024 2194 1 1 99 0 0
1705417840 1 0 0 63101132 720040 801880 0 0 0 0 614 398 0 0 100 0 0
1705417841 1 0 0 63101476 720044 802172 0 0 0 60 574 407 0 0 100 0 0
1705417842 1 0 0 63102364 720044 802092 0 0 0 0 602 385 0 0 100 0 0
1705417843 1 0 0 63102256 720044 802208 0 0 0 0 608 396 0 0 100 0 0
1705417844 1 0 0 63102640 720048 801884 0 0 0 0 568 384 0 0 100 0 0
1705417845 1 0 0 63102428 720048 802160 0 0 0 0 595 419 0 0 100 0 0
1705417846 1 0 0 63103092 720048 802076 0 0 0 0 665 371 0 0 100 0 0
1705417847 1 0 0 63103008 720052 802176 0 0 0 0 603 403 0 0 100 0 0
1705417848 1 0 0 63103588 720052 802184 0 0 0 44 571 389 0 0 100 0 0
1705417849 1 0 0 63103468 720052 802328 0 0 0 0 558 397 0 0 100 0 0
1705417850 1 0 0 63102964 720056 802300 0 0 0 0 548 369 0 0 100 0 0
1705417851 1 0 0 63103068 720056 802316 0 0 0 104 585 369 0 0 100 0 0
1705417852 1 0 0 63102760 720056 802224 0 0 0 0 511 377 0 0 100 0 0
1705417853 1 0 0 63102596 720060 802488 0 0 0 0 497 387 0 0 100 0 0
1705417854 1 0 0 63102952 720060 802216 0 0 0 0 488 355 0 0 100 0 0
