1705418163 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
1705418163 r b swpd free inact active si so bi bo in cs us sy id wa st
1705418163 7 0 0 62420964 721056 799240 0 0 14 91 103 94 2 0 98 0 0
1705418164 1 0 0 62421028 721064 801248 0 0 0 8 279 220 0 0 100 0 0
1705418165 1 0 0 62420576 721076 801420 0 0 0 56 506 390 0 0 100 0 0
1705418166 1 0 0 62420276 721076 801464 0 0 0 0 469 428 0 0 100 0 0
1705418167 2 0 0 62419804 721076 801384 0 0 0 0 479 364 0 0 100 0 0
1705418168 0 0 0 62419672 721080 801604 0 0 0 0 574 405 0 0 100 0 0
1705418169 0 0 0 62419496 721080 801424 0 0 0 0 584 372 0 0 100 0 0
1705418170 0 0 0 62419652 721084 801488 0 0 0 0 502 368 0 0 100 0 0
1705418171 25 0 0 61789360 721088 1403384 0 0 0 0 3698 6580 42 4 54 0 0
1705418172 2 0 0 61329660 721236 1861496 0 0 0 0 6007 4801 54 4 42 0 0
1705418173 2 0 0 61287468 721240 1900296 0 0 0 0 8280 4491 3 1 96 0 0
1705418174 1 0 0 61223908 721240 1953156 0 0 0 0 10812 6579 6 1 93 0 0
1705418175 3 0 0 61221356 721240 1957252 0 0 0 0 9811 5382 5 1 95 0 0
1705418176 1 0 0 61213388 721240 1962832 0 0 0 0 9560 5341 5 1 94 0 0
1705418177 1 0 0 61203316 721244 1980064 0 0 0 0 9838 5580 4 1 95 0 0
1705418178 2 0 0 61184036 721248 1997480 0 0 0 0 9610 5737 3 0 96 0 0
1705418179 1 0 0 61190104 721248 1988336 0 0 0 0 10382 6246 3 1 96 0 0
1705418180 1 0 0 61191340 721252 1987232 0 0 0 0 10087 5737 4 1 96 0 0
1705418181 1 0 0 61185756 721252 1992928 0 0 0 0 9638 5254 4 1 95 0 0
1705418182 1 0 0 61183172 721252 1993988 0 0 0 0 9719 5381 3 0 97 0 0
1705418183 2 0 0 61180928 721256 1996028 0 0 0 0 9582 5391 3 1 97 0 0
1705418184 2 0 0 61170336 721256 2001744 0 0 0 0 9931 6145 5 1 95 0 0
1705418185 2 0 0 61169980 721256 2002640 0 0 0 0 9487 5433 3 0 97 0 0
1705418186 1 0 0 61170460 721268 2003372 0 0 0 0 9386 5264 3 0 97 0 0
1705418187 2 0 0 61169528 721268 2004196 0 0 0 0 9440 5274 4 0 95 0 0
1705418188 1 0 0 61225596 721268 1944840 0 0 0 0 11873 6485 5 1 95 0 0
1705418189 3 0 0 61233600 721272 1942888 0 0 0 0 10549 6189 5 1 95 0 0
1705418190 1 0 0 61227816 721272 1951476 0 0 0 0 9634 6034 3 1 96 0 0
1705418191 3 0 0 61223696 721272 1952192 0 0 0 0 9691 5551 3 1 97 0 0
1705418192 1 0 0 61222576 721276 1952308 0 0 0 0 6245 3639 2 0 98 0 0
1705418193 1 0 0 62416840 721352 801580 0 0 0 0 3097 2448 1 1 99 0 0
1705418194 1 0 0 62417112 721352 801440 0 0 0 40 535 388 0 0 100 0 0
1705418195 1 0 0 62417776 721356 801456 0 0 0 96 568 387 0 0 100 0 0
1705418196 1 0 0 62418688 721356 801380 0 0 0 0 530 419 0 0 100 0 0
1705418197 1 0 0 62419320 721356 801564 0 0 0 0 496 388 0 0 100 0 0
1705418198 1 0 0 62418912 721360 801512 0 0 0 0 453 376 0 0 100 0 0
1705418199 1 0 0 62419212 721360 801568 0 0 0 0 528 393 0 0 100 0 0
1705418200 1 0 0 62419920 721360 801444 0 0 0 0 543 425 0 0 100 0 0
1705418201 1 0 0 62419408 721364 801688 0 0 0 0 582 457 0 0 100 0 0
1705418202 1 0 0 62418800 721364 801576 0 0 0 0 542 417 0 0 100 0 0
1705418203 1 0 0 62419156 721364 801856 0 0 0 0 507 377 0 0 100 0 0
1705418204 1 0 0 62418716 721368 801576 0 0 0 0 542 413 0 0 100 0 0
1705418205 1 0 0 62418536 721368 801772 0 0 0 168 569 375 0 0 100 0 0
1705418206 1 0 0 62418976 721368 801648 0 0 0 0 560 376 0 0 100 0 0
1705418207 1 0 0 62418052 721372 801740 0 0 0 0 468 332 0 0 100 0 0
1705418208 1 0 0 62418676 721372 802084 0 0 0 0 569 416 0 0 100 0 0
1705418209 1 0 0 62418904 721376 801868 0 0 0 0 519 357 0 0 100 0 0
