1705417221 PING 18.171.188.45 (18.171.188.45) 56(84) bytes of data.
1705417221 64 bytes from 18.171.188.45: icmp_seq=1 ttl=63 0.278 ms
1705417222 64 bytes from 18.171.188.45: icmp_seq=2 ttl=63 0.248 ms
1705417223 64 bytes from 18.171.188.45: icmp_seq=3 ttl=63 0.272 ms
1705417224 64 bytes from 18.171.188.45: icmp_seq=4 ttl=63 0.269 ms
1705417225 64 bytes from 18.171.188.45: icmp_seq=5 ttl=63 0.258 ms
1705417226 64 bytes from 18.171.188.45: icmp_seq=6 ttl=63 0.277 ms
1705417227 64 bytes from 18.171.188.45: icmp_seq=7 ttl=63 0.256 ms
1705417228 64 bytes from 18.171.188.45: icmp_seq=8 ttl=63 0.293 ms
1705417229 64 bytes from 18.171.188.45: icmp_seq=9 ttl=63 0.271 ms
1705417230 64 bytes from 18.171.188.45: icmp_seq=10 ttl=63 0.246 ms
1705417231 64 bytes from 18.171.188.45: icmp_seq=11 ttl=63 0.244 ms
1705417232 64 bytes from 18.171.188.45: icmp_seq=12 ttl=63 0.240 ms
1705417233 64 bytes from 18.171.188.45: icmp_seq=13 ttl=63 0.252 ms
1705417234 64 bytes from 18.171.188.45: icmp_seq=14 ttl=63 0.246 ms
1705417235 64 bytes from 18.171.188.45: icmp_seq=15 ttl=63 0.255 ms
1705417236 64 bytes from 18.171.188.45: icmp_seq=16 ttl=63 0.260 ms
1705417237 64 bytes from 18.171.188.45: icmp_seq=17 ttl=63 0.239 ms
1705417238 64 bytes from 18.171.188.45: icmp_seq=18 ttl=63 0.243 ms
1705417239 64 bytes from 18.171.188.45: icmp_seq=19 ttl=63 0.243 ms
1705417240 64 bytes from 18.171.188.45: icmp_seq=20 ttl=63 0.241 ms
1705417241 64 bytes from 18.171.188.45: icmp_seq=21 ttl=63 0.242 ms
1705417242 64 bytes from 18.171.188.45: icmp_seq=22 ttl=63 0.247 ms
1705417243 64 bytes from 18.171.188.45: icmp_seq=23 ttl=63 0.253 ms
1705417244 64 bytes from 18.171.188.45: icmp_seq=24 ttl=63 0.239 ms
1705417245 64 bytes from 18.171.188.45: icmp_seq=25 ttl=63 0.236 ms
1705417246 64 bytes from 18.171.188.45: icmp_seq=26 ttl=63 0.249 ms
1705417247 64 bytes from 18.171.188.45: icmp_seq=27 ttl=63 0.242 ms
1705417248 64 bytes from 18.171.188.45: icmp_seq=28 ttl=63 0.239 ms
1705417249 64 bytes from 18.171.188.45: icmp_seq=29 ttl=63 0.243 ms
1705417250 64 bytes from 18.171.188.45: icmp_seq=30 ttl=63 0.248 ms
1705417251 64 bytes from 18.171.188.45: icmp_seq=31 ttl=63 0.261 ms
1705417252 64 bytes from 18.171.188.45: icmp_seq=32 ttl=63 0.270 ms
1705417253 64 bytes from 18.171.188.45: icmp_seq=33 ttl=63 0.258 ms
1705417254 64 bytes from 18.171.188.45: icmp_seq=34 ttl=63 0.252 ms
1705417255 64 bytes from 18.171.188.45: icmp_seq=35 ttl=63 0.269 ms
1705417256 64 bytes from 18.171.188.45: icmp_seq=36 ttl=63 0.275 ms
1705417257 64 bytes from 18.171.188.45: icmp_seq=37 ttl=63 0.267 ms
1705417258 64 bytes from 18.171.188.45: icmp_seq=38 ttl=63 0.257 ms
1705417260 64 bytes from 18.171.188.45: icmp_seq=39 ttl=63 0.269 ms
1705417261 64 bytes from 18.171.188.45: icmp_seq=40 ttl=63 0.260 ms
1705417262 64 bytes from 18.171.188.45: icmp_seq=41 ttl=63 0.262 ms
1705417263 64 bytes from 18.171.188.45: icmp_seq=42 ttl=63 0.259 ms
1705417264 64 bytes from 18.171.188.45: icmp_seq=43 ttl=63 0.239 ms
1705417265 64 bytes from 18.171.188.45: icmp_seq=44 ttl=63 0.261 ms
1705417266 64 bytes from 18.171.188.45: icmp_seq=45 ttl=63 0.269 ms
1705417267 64 bytes from 18.171.188.45: icmp_seq=46 ttl=63 0.266 ms
1705417268 64 bytes from 18.171.188.45: icmp_seq=47 ttl=63 0.263 ms
1705417269 64 bytes from 18.171.188.45: icmp_seq=48 ttl=63 0.262 ms
