1705417397 Linux 5.4.0-1103-aws (ip-10-0-236-27) 01/16/24 _x86_64_ (16 CPU)
1705417398
1705417398 15:03:17 CPU %usr %nice %sys %iowait %irq %soft %steal %guest %gnice %idle
1705417401 15:03:21 3 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417401 15:03:21 4 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417401 15:03:21 5 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417401 15:03:21 6 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417401 15:03:21 7 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417401 15:03:21 8 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417401 15:03:21 9 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417401 15:03:21 10 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417401 15:03:21 11 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417401 15:03:21 12 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417401 15:03:21 13 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417401 15:03:21 14 0.99 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 99.01
1705417401 15:03:21 15 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417402
1705417402 15:03:21 CPU %usr %nice %sys %iowait %irq %soft %steal %guest %gnice %idle
1705417402 15:03:22 all 0.06 0.00 0.13 0.00 0.00 0.00 0.00 0.00 0.00 99.81
1705417402 15:03:22 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417402 15:03:22 1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417402 15:03:22 2 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1705417402 15:03:22 3 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417402 15:03:22 4 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417402 15:03:22 5 0.99 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 99.01
1705417402 15:03:22 6 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417402 15:03:22 7 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417402 15:03:22 8 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417402 15:03:22 9 0.99 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 99.01
1705417402 15:03:22 10 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417402 15:03:22 11 0.00 0.00 0.99 0.00 0.00 0.00 0.00 0.00 0.00 99.01
1705417402 15:03:22 12 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417402 15:03:22 13 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417402 15:03:22 14 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417402 15:03:22 15 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417403
1705417403 15:03:22 CPU %usr %nice %sys %iowait %irq %soft %steal %guest %gnice %idle
1705417403 15:03:23 all 0.06 0.00 0.12 0.00 0.00 0.00 0.00 0.00 0.00 99.81
1705417403 15:03:23 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417403 15:03:23 1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417403 15:03:23 2 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417403 15:03:23 3 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417403 15:03:23 4 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417403 15:03:23 5 0.00 0.00 0.99 0.00 0.00 0.00 0.00 0.00 0.00 99.01
1705417403 15:03:23 6 0.00 0.00 0.99 0.00 0.00 0.00 0.00 0.00 0.00 99.01
1705417403 15:03:23 7 0.99 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 99.01
1705417403 15:03:23 8 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417403 15:03:23 9 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417403 15:03:23 10 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417403 15:03:23 11 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417403 15:03:23 12 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417403 15:03:23 13 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417403 15:03:23 14 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417403 15:03:23 15 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417404
1705417404 15:03:23 CPU %usr %nice %sys %iowait %irq %soft %steal %guest %gnice %idle
1705417404 15:03:24 all 0.13 0.00 0.06 0.00 0.00 0.00 0.00 0.00 0.00 99.81
1705417404 15:03:24 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417404 15:03:24 1 0.99 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 99.01
1705417404 15:03:24 2 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417404 15:03:24 3 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417404 15:03:24 4 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417404 15:03:24 5 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417404 15:03:24 6 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417404 15:03:24 7 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417404 15:03:24 8 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417404 15:03:24 9 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1705417404 15:03:24 10 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417404 15:03:24 11 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417404 15:03:24 12 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417404 15:03:24 13 0.00 0.00 0.99 0.00 0.00 0.00 0.00 0.00 0.00 99.01
1705417404 15:03:24 14 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417404 15:03:24 15 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417405
1705417405 15:03:24 CPU %usr %nice %sys %iowait %irq %soft %steal %guest %gnice %idle
1705417405 15:03:25 all 39.38 0.00 3.39 0.00 0.00 0.00 0.00 0.00 0.00 57.22
1705417405 15:03:25 0 37.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 60.00
1705417405 15:03:25 1 36.36 0.00 3.03 0.00 0.00 0.00 0.00 0.00 0.00 60.61
1705417405 15:03:25 2 37.62 0.00 3.96 0.00 0.00 0.00 0.00 0.00 0.00 58.42
1705417406 15:03:25 3 37.76 0.00 4.08 0.00 0.00 0.00 0.00 0.00 0.00 58.16
1705417406 15:03:25 4 40.40 0.00 3.03 0.00 0.00 0.00 0.00 0.00 0.00 56.57
1705417406 15:03:25 5 39.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 58.00
1705417406 15:03:25 6 38.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 60.00
1705417406 15:03:25 7 32.32 0.00 4.04 0.00 0.00 0.00 0.00 0.00 0.00 63.64
1705417406 15:03:25 8 35.29 0.00 2.94 0.00 0.00 0.00 0.00 0.00 0.00 61.76
1705417406 15:03:25 9 83.00 0.00 8.00 0.00 0.00 0.00 0.00 0.00 0.00 9.00
1705417406 15:03:25 10 35.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 63.00
1705417406 15:03:25 11 36.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 62.00
1705417406 15:03:25 12 35.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 62.00
1705417406 15:03:25 13 35.35 0.00 3.03 0.00 0.00 0.00 0.00 0.00 0.00 61.62
1705417406 15:03:25 14 34.34 0.00 5.05 0.00 0.00 0.00 0.00 0.00 0.00 60.61
1705417406 15:03:25 15 36.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 61.00
1705417406
1705417406 15:03:25 CPU %usr %nice %sys %iowait %irq %soft %steal %guest %gnice %idle
1705417406 15:03:26 all 57.40 0.00 3.94 0.00 0.00 0.00 0.00 0.00 0.00 38.66
1705417406 15:03:26 0 56.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 40.00
1705417406 15:03:26 1 55.45 0.00 4.95 0.00 0.00 0.00 0.00 0.00 0.00 39.60
1705417406 15:03:26 2 57.58 0.00 3.03 0.00 0.00 0.00 0.00 0.00 0.00 39.39
1705417406 15:03:26 3 58.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 38.00
1705417406 15:03:26 4 56.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 40.00
1705417406 15:03:26 5 58.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 38.00
1705417406 15:03:26 6 58.59 0.00 4.04 0.00 0.00 0.00 0.00 0.00 0.00 37.37
1705417406 15:03:26 7 59.60 0.00 2.02 0.00 0.00 0.00 0.00 0.00 0.00 38.38
1705417406 15:03:26 8 63.64 0.00 3.03 0.00 0.00 0.00 0.00 0.00 0.00 33.33
1705417406 15:03:26 9 55.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 41.00
1705417406 15:03:26 10 58.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 39.00
1705417406 15:03:26 11 54.00 0.00 6.00 0.00 0.00 0.00 0.00 0.00 0.00 40.00
1705417406 15:03:26 12 62.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 36.00
1705417406 15:03:26 13 56.44 0.00 4.95 0.00 0.00 0.00 0.00 0.00 0.00 38.61
1705417406 15:03:26 14 56.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 41.00
1705417406 15:03:26 15 57.00 0.00 5.00 0.00 0.00 0.00 0.00 0.00 0.00 38.00
1705417407
1705417407 15:03:26 CPU %usr %nice %sys %iowait %irq %soft %steal %guest %gnice %idle
1705417407 15:03:27 all 1.56 0.00 0.31 0.00 0.00 0.00 0.00 0.00 0.00 98.12
1705417407 15:03:27 0 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 97.00
1705417407 15:03:27 1 2.97 0.00 0.99 0.00 0.00 0.00 0.00 0.00 0.00 96.04
1705417407 15:03:27 2 1.96 0.00 0.98 0.00 0.00 0.00 0.00 0.00 0.00 97.06
1705417407 15:03:27 3 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1705417407 15:03:27 4 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 97.00
1705417407 15:03:27 5 2.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 97.98
1705417407 15:03:27 6 3.96 0.00 0.99 0.00 0.00 0.00 0.00 0.00 0.00 95.05
1705417407 15:03:27 7 0.99 0.00 0.99 0.00 0.00 0.00 0.00 0.00 0.00 98.02
1705417407 15:03:27 8 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 97.00
1705417407 15:03:27 9 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417407 15:03:27 10 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1705417407 15:03:27 11 1.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 98.99
1705417407 15:03:27 12 2.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 97.00
1705417407 15:03:27 13 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417407 15:03:27 14 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417407 15:03:27 15 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1705417408
1705417408 15:03:27 CPU %usr %nice %sys %iowait %irq %soft %steal %guest %gnice %idle
1705417408 15:03:28 all 0.94 0.00 0.19 0.00 0.00 0.00 0.00 0.00 0.00 98.87
1705417408 15:03:28 0 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 98.00
1705417408 15:03:28 1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417408 15:03:28 2 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417408 15:03:28 3 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1705417408 15:03:28 4 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1705417408 15:03:28 5 1.98 0.00 0.99 0.00 0.00 0.00 0.00 0.00 0.00 97.03
1705417408 15:03:28 6 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417408 15:03:28 7 1.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 98.99
1705417408 15:03:28 8 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1705417408 15:03:28 9 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417408 15:03:28 10 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1705417408 15:03:28 11 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 99.00
