1705417750 PING 13.40.110.202 (13.40.110.202) 56(84) bytes of data.
1705417750 64 bytes from 13.40.110.202: icmp_seq=1 ttl=63 0.291 ms
1705417751 64 bytes from 13.40.110.202: icmp_seq=2 ttl=63 0.330 ms
1705417752 64 bytes from 13.40.110.202: icmp_seq=3 ttl=63 0.273 ms
1705417753 64 bytes from 13.40.110.202: icmp_seq=4 ttl=63 0.272 ms
1705417754 64 bytes from 13.40.110.202: icmp_seq=5 ttl=63 0.273 ms
1705417755 64 bytes from 13.40.110.202: icmp_seq=6 ttl=63 0.273 ms
1705417756 64 bytes from 13.40.110.202: icmp_seq=7 ttl=63 0.266 ms
1705417757 64 bytes from 13.40.110.202: icmp_seq=8 ttl=63 0.262 ms
1705417758 64 bytes from 13.40.110.202: icmp_seq=9 ttl=63 0.275 ms
1705417759 64 bytes from 13.40.110.202: icmp_seq=10 ttl=63 0.252 ms
1705417760 64 bytes from 13.40.110.202: icmp_seq=11 ttl=63 0.252 ms
1705417761 64 bytes from 13.40.110.202: icmp_seq=12 ttl=63 0.248 ms
1705417762 64 bytes from 13.40.110.202: icmp_seq=13 ttl=63 0.251 ms
1705417763 64 bytes from 13.40.110.202: icmp_seq=14 ttl=63 0.252 ms
1705417765 64 bytes from 13.40.110.202: icmp_seq=15 ttl=63 0.259 ms
1705417766 64 bytes from 13.40.110.202: icmp_seq=16 ttl=63 0.239 ms
1705417767 64 bytes from 13.40.110.202: icmp_seq=17 ttl=63 0.246 ms
1705417768 64 bytes from 13.40.110.202: icmp_seq=18 ttl=63 0.244 ms
1705417769 64 bytes from 13.40.110.202: icmp_seq=19 ttl=63 0.247 ms
1705417770 64 bytes from 13.40.110.202: icmp_seq=20 ttl=63 0.241 ms
1705417771 64 bytes from 13.40.110.202: icmp_seq=21 ttl=63 0.251 ms
1705417772 64 bytes from 13.40.110.202: icmp_seq=22 ttl=63 0.247 ms
1705417773 64 bytes from 13.40.110.202: icmp_seq=23 ttl=63 0.247 ms
1705417774 64 bytes from 13.40.110.202: icmp_seq=24 ttl=63 0.247 ms
1705417775 64 bytes from 13.40.110.202: icmp_seq=25 ttl=63 0.251 ms
1705417776 64 bytes from 13.40.110.202: icmp_seq=26 ttl=63 0.258 ms
1705417777 64 bytes from 13.40.110.202: icmp_seq=27 ttl=63 0.246 ms
1705417778 64 bytes from 13.40.110.202: icmp_seq=28 ttl=63 0.261 ms
1705417779 64 bytes from 13.40.110.202: icmp_seq=29 ttl=63 0.260 ms
1705417780 64 bytes from 13.40.110.202: icmp_seq=30 ttl=63 0.257 ms
1705417781 64 bytes from 13.40.110.202: icmp_seq=31 ttl=63 0.271 ms
1705417782 64 bytes from 13.40.110.202: icmp_seq=32 ttl=63 0.255 ms
1705417783 64 bytes from 13.40.110.202: icmp_seq=33 ttl=63 0.263 ms
1705417784 64 bytes from 13.40.110.202: icmp_seq=34 ttl=63 0.275 ms
1705417785 64 bytes from 13.40.110.202: icmp_seq=35 ttl=63 0.257 ms
1705417786 64 bytes from 13.40.110.202: icmp_seq=36 ttl=63 0.264 ms
1705417787 64 bytes from 13.40.110.202: icmp_seq=37 ttl=63 0.265 ms
1705417788 64 bytes from 13.40.110.202: icmp_seq=38 ttl=63 0.263 ms
1705417789 64 bytes from 13.40.110.202: icmp_seq=39 ttl=63 0.260 ms
1705417790 64 bytes from 13.40.110.202: icmp_seq=40 ttl=63 0.263 ms
1705417791 64 bytes from 13.40.110.202: icmp_seq=41 ttl=63 0.270 ms
1705417792 64 bytes from 13.40.110.202: icmp_seq=42 ttl=63 0.266 ms
1705417793 64 bytes from 13.40.110.202: icmp_seq=43 ttl=63 0.263 ms
1705417794 64 bytes from 13.40.110.202: icmp_seq=44 ttl=63 0.271 ms
1705417795 64 bytes from 13.40.110.202: icmp_seq=45 ttl=63 0.261 ms
1705417796 64 bytes from 13.40.110.202: icmp_seq=46 ttl=63 0.285 ms
1705417797 64 bytes from 13.40.110.202: icmp_seq=47 ttl=63 0.256 ms
1705417798 64 bytes from 13.40.110.202: icmp_seq=48 ttl=63 0.265 ms
