1705417927 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
1705417927 r b swpd free inact active si so bi bo in cs us sy id wa st
1705417927 7 0 0 62432172 710124 799884 0 0 16 104 88 87 1 0 98 0 0
1705417928 1 0 0 62432432 710132 801816 0 0 0 0 328 184 0 0 100 0 0
1705417929 1 0 0 62432172 710144 801940 0 0 0 0 577 354 0 0 100 0 0
1705417930 1 0 0 62431608 710144 801808 0 0 0 0 519 410 0 0 100 0 0
1705417931 1 0 0 62431260 710144 801948 0 0 0 64 577 365 0 0 100 0 0
1705417932 0 0 0 62430376 710148 801832 0 0 0 0 553 380 0 0 100 0 0
1705417933 0 0 0 62430224 710148 801956 0 0 0 92 589 374 0 0 100 0 0
1705417934 0 0 0 62430104 710148 801840 0 0 0 0 668 451 0 0 100 0 0
1705417935 23 0 0 61823712 710156 1388464 0 0 0 0 3652 5424 39 4 57 0 0
1705417936 1 0 0 61346680 710268 1854648 0 0 0 0 5126 5322 60 4 36 0 0
1705417937 1 0 0 61313228 710272 1884932 0 0 0 0 6332 3164 3 0 97 0 0
1705417938 2 0 0 61237956 710272 1952320 0 0 0 0 8001 4906 4 1 95 0 0
1705417939 1 0 0 61232480 710272 1951696 0 0 0 0 7239 3810 4 0 95 0 0
1705417940 1 0 0 61231280 710272 1955976 0 0 0 0 7434 3929 4 0 95 0 0
1705417941 1 0 0 61222200 710276 1967044 0 0 0 0 7449 4027 5 0 95 0 0
1705417942 2 0 0 61219540 710276 1969976 0 0 0 0 7274 4077 3 0 97 0 0
1705417943 1 0 0 61231944 710276 1957408 0 0 0 0 7827 4565 3 1 96 0 0
1705417944 1 0 0 61221196 710280 1971312 0 0 0 0 7437 4408 3 1 97 0 0
1705417945 1 0 0 61206792 710280 1986560 0 0 0 0 7619 4760 3 1 97 0 0
1705417946 2 0 0 61202632 710280 1987120 0 0 0 0 7322 4056 2 0 97 0 0
1705417947 3 0 0 61199276 710284 1991020 0 0 0 0 7242 3977 3 1 97 0 0
1705417948 2 0 0 61194600 710284 1994256 0 0 0 0 7223 4062 3 0 97 0 0
1705417949 2 0 0 61192096 710284 1994392 0 0 0 0 7197 4038 2 0 97 0 0
1705417950 1 0 0 61191976 710288 1994884 0 0 0 0 7227 3995 2 1 97 0 0
1705417951 1 0 0 61190620 710288 1995988 0 0 0 0 7213 3926 2 1 97 0 0
1705417952 3 0 0 61218080 710288 1964288 0 0 0 0 8863 5469 4 1 95 0 0
1705417953 1 0 0 61221948 710292 1962080 0 0 0 0 7458 4288 3 0 97 0 0
1705417954 1 0 0 61220468 710292 1962732 0 0 0 0 7388 4153 3 0 97 0 0
1705417955 2 0 0 61220696 710292 1964184 0 0 0 0 7363 4070 4 0 96 0 0
1705417956 3 0 0 61219284 710300 1964444 0 0 0 0 4942 2843 2 0 98 0 0
1705417957 1 0 0 62423948 710284 803040 0 0 0 0 2977 2319 0 1 99 0 0
1705417958 1 0 0 62426280 710356 802308 0 0 0 0 608 418 0 0 100 0 0
1705417959 1 0 0 62426388 710360 802308 0 0 0 60 579 388 0 0 100 0 0
1705417960 1 0 0 62427240 710360 802308 0 0 0 0 540 381 0 0 100 0 0
1705417961 1 0 0 62427312 710360 802412 0 0 0 92 605 391 0 0 100 0 0
1705417962 1 0 0 62427536 710364 802104 0 0 0 0 594 403 0 0 100 0 0
1705417963 1 0 0 62427296 710364 802292 0 0 0 0 564 380 0 0 100 0 0
1705417964 1 0 0 62427712 710364 802240 0 0 0 0 619 391 0 0 100 0 0
1705417965 1 0 0 62428048 710368 802504 0 0 0 0 617 411 0 0 100 0 0
1705417966 1 0 0 62427852 710368 802392 0 0 0 0 567 419 0 0 100 0 0
1705417967 1 0 0 62428712 710368 802596 0 0 0 0 589 398 0 0 100 0 0
1705417968 1 0 0 62428340 710372 802080 0 0 0 0 548 384 0 0 100 0 0
1705417969 1 0 0 62428196 710372 802476 0 0 0 120 606 364 0 0 100 0 0
1705417970 1 0 0 62428016 710372 802476 0 0 0 0 560 386 0 0 100 0 0
1705417971 1 0 0 62428488 710376 802648 0 0 0 0 544 369 0 0 100 0 0
1705417972 1 0 0 62427880 710376 802204 0 0 0 0 571 380 0 0 100 0 0
1705417973 1 0 0 62429396 710380 802492 0 0 0 0 690 448 0 0 100 0 0
