1705417927 PING 18.170.24.57 (18.170.24.57) 56(84) bytes of data.
1705417927 64 bytes from 18.170.24.57: icmp_seq=1 ttl=63 0.208 ms
1705417928 64 bytes from 18.170.24.57: icmp_seq=2 ttl=63 0.219 ms
1705417929 64 bytes from 18.170.24.57: icmp_seq=3 ttl=63 0.212 ms
1705417930 64 bytes from 18.170.24.57: icmp_seq=4 ttl=63 0.199 ms
1705417931 64 bytes from 18.170.24.57: icmp_seq=5 ttl=63 0.200 ms
1705417932 64 bytes from 18.170.24.57: icmp_seq=6 ttl=63 0.197 ms
1705417933 64 bytes from 18.170.24.57: icmp_seq=7 ttl=63 0.204 ms
1705417934 64 bytes from 18.170.24.57: icmp_seq=8 ttl=63 0.220 ms
1705417935 64 bytes from 18.170.24.57: icmp_seq=9 ttl=63 0.189 ms
1705417936 64 bytes from 18.170.24.57: icmp_seq=10 ttl=63 0.188 ms
1705417937 64 bytes from 18.170.24.57: icmp_seq=11 ttl=63 0.187 ms
1705417938 64 bytes from 18.170.24.57: icmp_seq=12 ttl=63 0.179 ms
1705417939 64 bytes from 18.170.24.57: icmp_seq=13 ttl=63 0.178 ms
1705417940 64 bytes from 18.170.24.57: icmp_seq=14 ttl=63 0.173 ms
1705417941 64 bytes from 18.170.24.57: icmp_seq=15 ttl=63 0.181 ms
1705417942 64 bytes from 18.170.24.57: icmp_seq=16 ttl=63 0.186 ms
1705417943 64 bytes from 18.170.24.57: icmp_seq=17 ttl=63 0.172 ms
1705417944 64 bytes from 18.170.24.57: icmp_seq=18 ttl=63 0.170 ms
1705417945 64 bytes from 18.170.24.57: icmp_seq=19 ttl=63 0.179 ms
1705417946 64 bytes from 18.170.24.57: icmp_seq=20 ttl=63 0.171 ms
1705417947 64 bytes from 18.170.24.57: icmp_seq=21 ttl=63 0.187 ms
1705417948 64 bytes from 18.170.24.57: icmp_seq=22 ttl=63 0.187 ms
1705417949 64 bytes from 18.170.24.57: icmp_seq=23 ttl=63 0.172 ms
1705417950 64 bytes from 18.170.24.57: icmp_seq=24 ttl=63 0.170 ms
1705417951 64 bytes from 18.170.24.57: icmp_seq=25 ttl=63 0.188 ms
1705417952 64 bytes from 18.170.24.57: icmp_seq=26 ttl=63 0.178 ms
1705417953 64 bytes from 18.170.24.57: icmp_seq=27 ttl=63 0.171 ms
1705417954 64 bytes from 18.170.24.57: icmp_seq=28 ttl=63 0.178 ms
1705417955 64 bytes from 18.170.24.57: icmp_seq=29 ttl=63 0.183 ms
1705417956 64 bytes from 18.170.24.57: icmp_seq=30 ttl=63 0.186 ms
1705417957 64 bytes from 18.170.24.57: icmp_seq=31 ttl=63 0.181 ms
1705417958 64 bytes from 18.170.24.57: icmp_seq=32 ttl=63 0.199 ms
1705417959 64 bytes from 18.170.24.57: icmp_seq=33 ttl=63 0.204 ms
1705417960 64 bytes from 18.170.24.57: icmp_seq=34 ttl=63 0.189 ms
1705417962 64 bytes from 18.170.24.57: icmp_seq=35 ttl=63 0.192 ms
1705417963 64 bytes from 18.170.24.57: icmp_seq=36 ttl=63 0.203 ms
1705417964 64 bytes from 18.170.24.57: icmp_seq=37 ttl=63 0.211 ms
1705417965 64 bytes from 18.170.24.57: icmp_seq=38 ttl=63 0.193 ms
1705417966 64 bytes from 18.170.24.57: icmp_seq=39 ttl=63 0.195 ms
1705417967 64 bytes from 18.170.24.57: icmp_seq=40 ttl=63 0.205 ms
1705417968 64 bytes from 18.170.24.57: icmp_seq=41 ttl=63 0.210 ms
1705417969 64 bytes from 18.170.24.57: icmp_seq=42 ttl=63 0.187 ms
1705417970 64 bytes from 18.170.24.57: icmp_seq=43 ttl=63 0.188 ms
1705417971 64 bytes from 18.170.24.57: icmp_seq=44 ttl=63 0.203 ms
1705417972 64 bytes from 18.170.24.57: icmp_seq=45 ttl=63 0.202 ms
1705417973 64 bytes from 18.170.24.57: icmp_seq=46 ttl=63 0.205 ms
1705417974 64 bytes from 18.170.24.57: icmp_seq=47 ttl=63 0.192 ms
1705417975 64 bytes from 18.170.24.57: icmp_seq=48 ttl=63 0.184 ms
