1705491018 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
1705491018 r b swpd free inact active si so bi bo in cs us sy id wa st
1705491018 8 0 0 56992756 4000960 3466144 0 0 11 186 162 69 4 1 95 0 0
1705491019 1 0 0 56992496 4000968 3466584 0 0 0 0 1402 1808 0 0 100 0 0
1705491020 2 0 0 56992988 4000984 3467524 0 0 0 0 1282 1468 0 0 100 0 0
1705491021 1 0 0 56992712 4000984 3467740 0 0 0 16 1379 1786 0 0 100 0 0
1705491022 0 0 0 56991656 4000984 3467644 0 0 0 0 1466 1751 0 0 100 0 0
1705491023 0 0 0 56991648 4000988 3467756 0 0 0 0 1624 1980 0 0 100 0 0
1705491024 0 0 0 56991712 4000988 3467720 0 0 0 0 1563 1737 0 0 100 0 0
1705491025 0 0 0 56992276 4000988 3467840 0 0 0 0 1145 1414 0 0 100 0 0
1705491026 0 0 0 56991644 4000992 3467744 0 0 0 0 1497 1675 0 0 100 0 0
1705491027 5 0 0 56990960 4001484 3467796 0 0 0 532 47575 42583 8 2 89 0 0
1705491028 4 0 0 56985108 4007096 3467808 0 0 0 1144 117020 104187 28 6 67 0 0
1705491029 18 0 0 56980096 4012584 3467920 0 0 0 1120 117338 104628 26 5 69 0 0
1705491030 6 0 0 56973296 4018688 3468240 0 0 0 1124 118393 105244 27 6 67 0 0
1705491031 6 0 0 56966512 4024736 3468224 0 0 0 1136 115370 101931 27 5 67 0 0
1705491032 8 0 0 56962552 4030560 3468236 0 0 0 1132 117849 103672 29 6 66 0 0
1705491033 7 0 0 56955156 4036000 3468420 0 0 0 1120 118064 104951 24 5 71 0 0
1705491034 6 0 0 56950240 4041356 3468304 0 0 0 1112 117000 102476 27 6 67 0 0
1705491035 4 0 0 56944708 4046872 3468364 0 0 0 1104 115815 101549 28 6 66 0 0
1705491036 18 0 0 56937964 4053004 3468388 0 0 0 1168 119994 106865 25 6 69 0 0
1705491037 3 0 0 56934792 4057928 3466524 0 0 0 1232 116576 102220 27 5 67 0 0
1705491038 8 0 0 56928860 4064408 3466584 0 0 0 1132 119039 104604 29 6 65 0 0
1705491039 3 0 0 56922432 4069976 3466448 0 0 0 1128 114384 101416 29 5 66 0 0
1705491040 5 0 0 56891436 4075396 3491624 0 0 0 1088 116962 104852 24 6 70 0 0
1705491041 4 0 0 56881768 4081192 3496056 0 0 0 1128 116201 102153 28 6 65 0 0
1705491042 4 0 0 56875972 4086332 3495428 0 0 0 1108 116079 101315 28 6 67 0 0
1705491043 4 0 0 56869984 4092288 3495540 0 0 0 1108 118856 107449 25 5 69 0 0
1705491044 11 0 0 56843696 4101872 3512388 0 0 0 976 115736 100999 27 5 68 0 0
1705491045 9 0 0 56844552 4107844 3506052 0 0 0 1124 115246 102441 30 6 64 0 0
1705491046 5 0 0 56838732 4113736 3505996 0 0 0 1132 118379 104538 28 6 66 0 0
1705491047 2 0 0 56835080 4117976 3506456 0 0 0 756 78932 71810 17 4 79 0 0
1705491048 1 0 0 56834384 4118484 3506520 0 0 0 0 6243 7403 1 0 99 0 0
1705491049 2 0 0 56834368 4118496 3506648 0 0 0 0 1591 1864 0 0 100 0 0
1705491050 1 0 0 56834044 4118508 3506248 0 0 0 0 1272 1463 0 0 100 0 0
1705491051 1 0 0 56832876 4118508 3506328 0 0 0 0 1545 1933 0 0 100 0 0
1705491052 1 0 0 56832976 4118508 3506516 0 0 0 80 1394 1748 0 0 100 0 0
1705491053 1 0 0 56831708 4118512 3506396 0 0 0 0 1312 1459 0 0 100 0 0
1705491054 1 0 0 56831124 4118512 3506508 0 0 0 0 1591 1902 0 0 100 0 0
1705491055 1 0 0 56831220 4118512 3506628 0 0 0 0 1356 1652 0 0 100 0 0
1705491056 1 0 0 56831360 4118516 3506332 0 0 0 0 1372 1669 0 0 100 0 0
1705491057 1 0 0 56833224 4116900 3506496 0 0 0 0 1467 1818 0 0 100 0 0
1705491058 1 0 0 56833676 4116900 3506464 0 0 0 0 1618 1707 0 0 100 0 0
1705491059 1 0 0 56833164 4116904 3506528 0 0 0 0 1646 1963 0 0 100 0 0
1705491060 1 0 0 56833236 4116904 3506396 0 0 0 0 1238 1498 0 0 100 0 0
1705491061 1 0 0 56832164 4116904 3506448 0 0 0 0 1301 1535 0 0 100 0 0
1705491062 1 0 0 56831476 4116912 3506252 0 0 4 103060 2485 2861 0 0 99 0 0
1705491063 2 0 0 56832548 4116912 3506168 0 0 0 0 1470 1755 0 0 100 0 0
1705491064 1 0 0 56832172 4116912 3506520 0 0 0 0 1521 1839 0 0 100 0 0
1705491065 1 0 0 56832100 4116916 3506400 0 0 0 0 1163 1373 0 0 100 0 0
1705491066 1 0 0 56833064 4116916 3506296 0 0 0 0 1462 1698 0 0 100 0 0
