1705417280 PING 18.134.130.138 (18.134.130.138) 56(84) bytes of data.
1705417280 64 bytes from 18.134.130.138: icmp_seq=1 ttl=63 0.306 ms
1705417281 64 bytes from 18.134.130.138: icmp_seq=2 ttl=63 0.276 ms
1705417282 64 bytes from 18.134.130.138: icmp_seq=3 ttl=63 0.278 ms
1705417283 64 bytes from 18.134.130.138: icmp_seq=4 ttl=63 0.281 ms
1705417284 64 bytes from 18.134.130.138: icmp_seq=5 ttl=63 0.279 ms
1705417285 64 bytes from 18.134.130.138: icmp_seq=6 ttl=63 0.258 ms
1705417286 64 bytes from 18.134.130.138: icmp_seq=7 ttl=63 0.287 ms
1705417287 64 bytes from 18.134.130.138: icmp_seq=8 ttl=63 0.276 ms
1705417288 64 bytes from 18.134.130.138: icmp_seq=9 ttl=63 0.289 ms
1705417289 64 bytes from 18.134.130.138: icmp_seq=10 ttl=63 0.257 ms
1705417290 64 bytes from 18.134.130.138: icmp_seq=11 ttl=63 0.258 ms
1705417291 64 bytes from 18.134.130.138: icmp_seq=12 ttl=63 0.252 ms
1705417292 64 bytes from 18.134.130.138: icmp_seq=13 ttl=63 0.255 ms
1705417293 64 bytes from 18.134.130.138: icmp_seq=14 ttl=63 0.255 ms
1705417294 64 bytes from 18.134.130.138: icmp_seq=15 ttl=63 0.256 ms
1705417295 64 bytes from 18.134.130.138: icmp_seq=16 ttl=63 0.246 ms
1705417296 64 bytes from 18.134.130.138: icmp_seq=17 ttl=63 0.260 ms
1705417297 64 bytes from 18.134.130.138: icmp_seq=18 ttl=63 0.255 ms
1705417298 64 bytes from 18.134.130.138: icmp_seq=19 ttl=63 0.255 ms
1705417299 64 bytes from 18.134.130.138: icmp_seq=20 ttl=63 0.251 ms
1705417300 64 bytes from 18.134.130.138: icmp_seq=21 ttl=63 0.273 ms
1705417301 64 bytes from 18.134.130.138: icmp_seq=22 ttl=63 0.256 ms
1705417302 64 bytes from 18.134.130.138: icmp_seq=23 ttl=63 0.253 ms
1705417303 64 bytes from 18.134.130.138: icmp_seq=24 ttl=63 0.263 ms
1705417305 64 bytes from 18.134.130.138: icmp_seq=25 ttl=63 0.258 ms
1705417306 64 bytes from 18.134.130.138: icmp_seq=26 ttl=63 0.260 ms
1705417307 64 bytes from 18.134.130.138: icmp_seq=27 ttl=63 0.262 ms
1705417308 64 bytes from 18.134.130.138: icmp_seq=28 ttl=63 0.254 ms
1705417309 64 bytes from 18.134.130.138: icmp_seq=29 ttl=63 0.266 ms
1705417310 64 bytes from 18.134.130.138: icmp_seq=30 ttl=63 0.261 ms
1705417311 64 bytes from 18.134.130.138: icmp_seq=31 ttl=63 0.271 ms
1705417312 64 bytes from 18.134.130.138: icmp_seq=32 ttl=63 0.269 ms
1705417313 64 bytes from 18.134.130.138: icmp_seq=33 ttl=63 0.274 ms
1705417314 64 bytes from 18.134.130.138: icmp_seq=34 ttl=63 0.281 ms
1705417315 64 bytes from 18.134.130.138: icmp_seq=35 ttl=63 0.264 ms
1705417316 64 bytes from 18.134.130.138: icmp_seq=36 ttl=63 0.273 ms
1705417317 64 bytes from 18.134.130.138: icmp_seq=37 ttl=63 0.260 ms
1705417318 64 bytes from 18.134.130.138: icmp_seq=38 ttl=63 0.280 ms
1705417319 64 bytes from 18.134.130.138: icmp_seq=39 ttl=63 0.280 ms
1705417320 64 bytes from 18.134.130.138: icmp_seq=40 ttl=63 0.268 ms
1705417321 64 bytes from 18.134.130.138: icmp_seq=41 ttl=63 0.284 ms
1705417322 64 bytes from 18.134.130.138: icmp_seq=42 ttl=63 0.270 ms
1705417323 64 bytes from 18.134.130.138: icmp_seq=43 ttl=63 0.286 ms
1705417324 64 bytes from 18.134.130.138: icmp_seq=44 ttl=63 0.270 ms
1705417325 64 bytes from 18.134.130.138: icmp_seq=45 ttl=63 0.274 ms
1705417326 64 bytes from 18.134.130.138: icmp_seq=46 ttl=63 0.278 ms
1705417327 64 bytes from 18.134.130.138: icmp_seq=47 ttl=63 0.277 ms
1705417328 64 bytes from 18.134.130.138: icmp_seq=48 ttl=63 0.276 ms
