1582077984 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
1582077984 r b swpd free inact active si so bi bo in cs us sy id wa st
1582078050 1 0 0 61500240 1138448 1388476 0 0 0 0 1790 2587 0 0 100 0 0
1582078051 1 0 0 61500980 1138448 1388040 0 0 0 0 1755 2662 0 0 100 0 0
1582078052 1 0 0 61500484 1130068 1396308 0 0 0 8 1442 2143 0 0 100 0 0
1582078053 1 0 0 61500748 1130068 1396536 0 0 0 0 2029 3023 0 0 100 0 0
1582078054 1 0 0 61500180 1130068 1396880 0 0 0 0 1777 2557 0 0 100 0 0
1582078055 2 0 0 61500676 1130072 1396356 0 0 0 80 1797 2601 0 0 100 0 0
1582078056 1 0 0 61500944 1130072 1396412 0 0 0 0 1533 2273 0 0 100 0 0
1582078057 1 0 0 61500796 1130072 1396524 0 0 0 0 1500 2191 0 0 100 0 0
1582078058 1 0 0 61501412 1130076 1396056 0 0 0 0 2082 3062 0 0 100 0 0
1582078059 1 0 0 61500484 1130076 1396544 0 0 0 0 1878 2806 0 0 100 0 0
1582078060 1 0 0 61499740 1130076 1396544 0 0 0 0 1570 2289 0 0 100 0 0
1582078061 1 0 0 61500472 1130080 1396732 0 0 0 0 1510 2299 0 0 100 0 0
1582078062 1 0 0 61499844 1130080 1395848 0 0 0 0 2246 3321 0 0 100 0 0
1582078063 1 0 0 61500624 1130084 1396456 0 0 0 0 2097 3101 0 0 100 0 0
1582078064 1 0 0 61501056 1130084 1396508 0 0 0 0 1595 2381 0 0 100 0 0
