1582078088 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
1582078088 r b swpd free inact active si so bi bo in cs us sy id wa st
1582078088 7 0 0 62970452 714692 404860 0 0 27 34 59 68 0 0 100 0 0
1582078089 1 0 0 62969604 714692 405596 0 0 0 4 794 740 0 0 100 0 0
1582078090 1 0 0 62967700 714712 407008 0 0 0 0 885 868 0 0 100 0 0
1582078091 0 0 0 62967372 714712 406968 0 0 0 0 897 836 0 0 100 0 0
1582078092 0 0 0 62967596 714712 407220 0 0 0 0 905 879 0 0 100 0 0
1582078093 0 0 0 62968024 714716 407004 0 0 0 0 925 900 0 0 100 0 0
1582078094 0 0 0 62967704 714716 407132 0 0 0 0 862 850 0 0 100 0 0
1582078095 0 0 0 62967416 714716 407096 0 0 0 0 886 867 0 0 100 0 0
1582078096 0 0 0 62966916 714716 407052 0 0 0 0 922 917 0 0 100 0 0
1582078097 4 0 0 62966808 714716 407496 0 0 0 0 1436 1757 0 0 100 0 0
1582078098 3 0 0 62967396 714720 406576 0 0 0 0 869 864 0 0 100 0 0
1582078099 1 0 0 62966304 716168 407008 0 0 0 1556 1156 1271 0 0 100 0 0
1582078100 1 0 0 62954744 730920 402888 0 0 0 8736 2714 2721 0 0 99 0 0
1582078101 1 0 0 62945400 742352 400792 0 0 0 9712 3071 3121 0 0 99 0 0
1582078102 1 0 0 62932008 758596 397888 0 0 0 9772 3367 3442 0 0 99 0 0
1582078103 1 0 0 62913932 768520 405932 0 0 0 10276 3070 3157 0 0 99 0 0
1582078104 1 0 0 62911720 770940 405904 0 0 0 4108 1447 1629 0 0 100 0 0
1582078105 1 0 0 62900752 788520 398412 0 0 0 10252 3016 3060 0 0 99 0 0
1582078106 1 0 0 62889764 801396 396416 0 0 0 10940 3624 3884 0 0 99 0 0
1582078107 1 0 0 62880000 811524 396692 0 0 0 10264 3338 3305 0 0 99 0 0
1582078108 1 0 0 62932512 757668 398568 0 0 0 11808 3003 3348 0 0 99 0 0
1582078109 1 0 0 62925800 767224 396904 0 0 0 7892 2615 2752 0 0 99 0 0
1582078110 1 0 0 62915232 779928 394252 0 0 0 10440 4348 5494 1 0 98 0 0
1582078111 1 0 0 62903452 790124 394508 0 0 0 10328 3142 3387 0 0 99 0 0
1582078112 1 0 0 62892916 800320 395348 0 0 0 10332 3155 3283 0 0 99 0 0
1582078113 2 0 0 62886472 802212 399480 0 0 0 4048 2460 2761 0 0 99 0 0
1582078114 1 0 0 62875660 813524 398644 0 0 0 10508 2233 2306 0 0 99 0 0
1582078115 1 0 0 62865860 823884 398544 0 0 0 10500 3325 3434 0 0 99 0 0
1582078116 1 0 0 62853612 834156 398904 0 0 0 10412 3028 3092 0 0 99 0 0
1582078117 1 0 0 62843636 844440 398784 0 0 0 11736 3582 4113 0 0 99 0 0
1582078118 2 0 0 62829208 858184 399452 0 0 0 10580 3470 3686 0 0 99 0 0
1582078119 1 0 0 62821924 865608 399636 0 0 4 7544 2579 2788 0 0 99 0 0
1582078120 1 0 0 62820616 866732 399500 0 0 0 1244 1426 1660 0 0 100 0 0
1582078121 1 0 0 62820188 866732 399616 0 0 0 0 864 907 0 0 100 0 0
1582078122 1 0 0 62820076 862636 403700 0 0 0 0 930 922 0 0 100 0 0
1582078123 1 0 0 62819644 862640 403700 0 0 0 0 838 837 0 0 100 0 0
1582078124 1 0 0 62820152 862640 403884 0 0 0 0 888 885 0 0 100 0 0
1582078125 1 0 0 62820640 862640 403676 0 0 0 0 915 886 0 0 100 0 0
1582078126 1 0 0 62820216 862644 403776 0 0 0 0 832 895 0 0 100 0 0
1582078127 1 0 0 62819720 862644 403652 0 0 0 0 871 884 0 0 100 0 0
1582078128 1 0 0 62820216 862644 403688 0 0 0 0 828 885 0 0 100 0 0
1582078129 1 0 0 62820096 862644 403504 0 0 0 0 922 915 0 0 100 0 0
1582078130 1 0 0 62820288 862648 403520 0 0 0 92 892 872 0 0 100 0 0
1582078131 1 0 0 62819780 862648 403864 0 0 0 0 881 851 0 0 100 0 0
1582078132 1 0 0 62819856 856512 409756 0 0 0 0 867 903 0 0 100 0 0
1582078133 1 0 0 62819712 856512 410064 0 0 0 0 935 889 0 0 100 0 0
1582078134 1 0 0 62819900 856512 410000 0 0 0 0 861 883 0 0 100 0 0
1582078135 1 0 0 62819960 856516 409768 0 0 0 0 877 826 0 0 100 0 0
1582078136 1 0 0 62820144 856516 409848 0 0 0 0 933 924 0 0 100 0 0
1582078137 1 0 0 62819612 856516 409908 0 0 0 0 1438 1800 0 0 100 0 0
1582078138 1 0 0 62820496 856520 410032 0 0 0 0 944 931 0 0 100 0 0
1582078139 1 0 0 62819464 856520 409880 0 0 0 0 967 925 0 0 100 0 0
1582078140 2 0 0 62820744 856520 409888 0 0 0 0 869 899 0 0 100 0 0
1582078141 1 0 0 62819616 856524 410116 0 0 0 0 898 858 0 0 100 0 0
1582078142 1 0 0 62820292 856524 409716 0 0 0 0 1017 1060 0 0 100 0 0
1582078143 1 0 0 62819700 856524 410056 0 0 0 0 899 917 0 0 100 0 0
1582078144 1 0 0 62819636 856528 409900 0 0 0 0 927 886 0 0 100 0 0
1582078145 1 0 0 62819620 856532 409748 0 0 0 0 962 894 0 0 100 0 0
1582078146 1 0 0 62819588 856532 409852 0 0 0 0 892 863 0 0 100 0 0
1582078147 1 0 0 62819040 856536 409936 0 0 0 0 957 923 0 0 100 0 0
1582078148 1 0 0 62819624 856536 410040 0 0 0 0 918 889 0 0 100 0 0
1582078149 1 0 0 62819156 856536 410024 0 0 0 0 982 942 0 0 100 0 0
1582078150 1 0 0 62820332 856544 409928 0 0 0 96 985 909 0 0 100 0 0
1582078151 1 0 0 62820124 856544 409908 0 0 0 0 882 864 0 0 100 0 0
1582078152 1 0 0 62820696 856548 409752 0 0 0 0 887 931 0 0 100 0 0
1582078153 2 0 0 62820352 856552 410088 0 0 0 0 844 888 0 0 100 0 0
1582078154 1 0 0 62820352 856552 410036 0 0 0 0 841 851 0 0 100 0 0
1582078155 1 0 0 62819872 856552 409992 0 0 0 16 857 860 0 0 100 0 0
1582078156 1 0 0 62819544 856552 410292 0 0 0 0 865 842 0 0 100 0 0
1582078157 1 0 0 62819648 856556 409840 0 0 0 0 1423 1737 0 0 100 0 0
1582078158 1 0 0 62820456 856556 410012 0 0 0 0 849 870 0 0 100 0 0
1582078159 1 0 0 62820384 856560 410052 0 0 0 0 905 874 0 0 100 0 0
1582078160 1 0 0 62820392 856560 410148 0 0 0 0 906 855 0 0 100 0 0
1582078161 1 0 0 62819636 856560 409824 0 0 0 0 907 915 0 0 100 0 0
1582078162 1 0 0 62820108 856564 410060 0 0 0 0 957 994 0 0 100 0 0
1582078163 1 0 0 62819284 856564 410040 0 0 0 0 884 867 0 0 100 0 0
1582078164 1 0 0 62819676 856564 409836 0 0 0 0 918 904 0 0 100 0 0
1582078165 1 0 0 62819596 856568 410676 0 0 0 0 927 876 0 0 100 0 0
1582078166 1 0 0 62820488 856568 410044 0 0 0 0 923 876 0 0 100 0 0
1582078167 1 0 0 62819596 856568 410180 0 0 0 0 1026 993 0 0 100 0 0
1582078168 1 0 0 62819612 856572 410320 0 0 0 0 952 895 0 0 100 0 0
1582078169 1 0 0 62819624 856572 410152 0 0 0 0 935 916 0 0 100 0 0
1582078170 1 0 0 62819784 856572 410168 0 0 0 0 940 902 0 0 100 0 0
1582078171 1 0 0 62819852 856576 409836 0 0 0 0 951 934 0 0 100 0 0
1582078172 1 0 0 62819872 856576 410100 0 0 0 0 904 925 0 0 100 0 0
