1582077676 ens5 docker0
1582077676 KB/s in KB/s out KB/s in KB/s out
1582077676 0.46 0.59 0.00 0.00
1582077677 0.10 0.10 0.00 0.00
1582077678 0.10 0.10 0.00 0.00
1582077679 0.10 0.10 0.00 0.00
1582077680 0.10 0.10 0.00 0.00
1582077681 0.22 0.19 0.00 0.00
1582077682 0.10 0.10 0.00 0.00
1582077683 0.74 0.41 0.00 0.00
1582077684 0.10 0.10 0.00 0.00
1582077685 1061.16 95.12 0.00 0.00
1582077686 401.16 228.27 0.00 0.00
1582077687 571.08 204.70 0.00 0.00
1582077688 566.73 194.43 0.00 0.00
1582077689 573.51 208.36 0.00 0.00
1582077690 563.23 205.54 0.00 0.00
1582077691 576.74 193.52 0.00 0.00
1582077692 559.22 207.12 0.00 0.00
1582077693 569.08 197.97 0.00 0.00
1582077694 568.92 204.43 0.00 0.00
1582077695 559.47 192.28 0.00 0.00
1582077696 573.79 204.61 0.00 0.00
1582077697 558.56 200.75 0.00 0.00
1582077698 579.54 201.91 0.00 0.00
1582077699 565.68 207.96 0.00 0.00
1582077700 567.88 193.18 0.00 0.00
1582077701 568.31 207.29 0.00 0.00
1582077702 564.32 192.90 0.00 0.00
1582077703 576.35 208.16 0.00 0.00
1582077704 565.74 200.37 0.00 0.00
1582077705 571.88 200.72 0.00 0.00
1582077706 345.24 58.06 0.00 0.00
1582077707 6.56 1.13 0.00 0.00
1582077708 0.10 0.10 0.00 0.00
1582077709 0.14 0.14 0.00 0.00
1582077710 0.10 0.10 0.00 0.00
1582077711 0.10 0.10 0.00 0.00
1582077712 0.10 0.10 0.00 0.00
1582077713 0.10 0.10 0.00 0.00
1582077714 0.10 0.10 0.00 0.00
1582077715 3.08 3.32 0.00 0.00
1582077716 5.81 6.25 0.00 0.00
1582077717 0.10 0.10 0.00 0.00
1582077718 0.10 0.10 0.00 0.00
1582077719 0.10 0.10 0.00 0.00
1582077720 0.18 0.18 0.00 0.00
1582077721 0.07 0.07 0.00 0.00
1582077722 1.82 1.46 0.00 0.00
1582077723 0.93 1.28 0.00 0.00
1582077724 0.10 0.10 0.00 0.00
1582077725 0.10 0.10 0.00 0.00
1582077726 0.63 0.77 0.00 0.00
1582077727 0.20 0.14 0.00 0.00
1582077728 0.10 0.10 0.00 0.00
1582077729 0.10 0.10 0.00 0.00
1582077730 0.10 0.10 0.00 0.00
1582077731 0.10 0.10 0.00 0.00
1582077732 0.10 0.10 0.00 0.00
1582077733 0.10 0.10 0.00 0.00
1582077734 0.27 0.27 0.00 0.00
1582077735 0.18 0.18 0.00 0.00
1582077736 0.45 0.45 0.00 0.00
1582077737 0.27 0.27 0.00 0.00
1582077738 0.10 0.10 0.00 0.00
1582077739 0.14 0.14 0.00 0.00
1582077740 0.10 0.10 0.00 0.00
1582077741 0.10 0.10 0.00 0.00
1582077742 0.10 0.10 0.00 0.00
1582077743 0.10 0.10 0.00 0.00
1582077744 0.10 0.10 0.00 0.00
1582077745 3.29 32.58 0.00 0.00
