1582077674 Linux 4.15.0-1060-aws (ip-192-168-1-38) 02/19/20 _x86_64_ (16 CPU)
1582077675
1582077675 02:01:14 CPU %usr %nice %sys %iowait %irq %soft %steal %guest %gnice %idle
1582077678 02:01:18 3 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077678 02:01:18 4 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077678 02:01:18 5 0.00 0.00 0.99 0.00 0.00 0.00 0.00 0.00 0.00 99.01
1582077678 02:01:18 6 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077678 02:01:18 7 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077678 02:01:18 8 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077678 02:01:18 9 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1582077678 02:01:18 10 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1582077678 02:01:18 11 0.00 0.00 0.99 0.00 0.00 0.00 0.00 0.00 0.00 99.01
1582077678 02:01:18 12 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077678 02:01:18 13 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077678 02:01:18 14 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077678 02:01:18 15 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077679
1582077679 02:01:18 CPU %usr %nice %sys %iowait %irq %soft %steal %guest %gnice %idle
1582077679 02:01:19 all 0.13 0.00 0.19 0.00 0.00 0.00 0.00 0.00 0.00 99.69
1582077679 02:01:19 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077679 02:01:19 1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077679 02:01:19 2 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077679 02:01:19 3 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077679 02:01:19 4 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077679 02:01:19 5 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077679 02:01:19 6 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077679 02:01:19 7 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077679 02:01:19 8 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077679 02:01:19 9 1.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 98.99
1582077679 02:01:19 10 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077679 02:01:19 11 0.00 0.00 0.99 0.00 0.00 0.00 0.00 0.00 0.00 99.01
1582077679 02:01:19 12 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077679 02:01:19 13 0.99 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 99.01
1582077679 02:01:19 14 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1582077679 02:01:19 15 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077680
1582077680 02:01:19 CPU %usr %nice %sys %iowait %irq %soft %steal %guest %gnice %idle
1582077680 02:01:20 all 0.13 0.00 0.13 0.00 0.00 0.00 0.00 0.00 0.00 99.75
1582077680 02:01:20 0 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1582077680 02:01:20 1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077680 02:01:20 2 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077680 02:01:20 3 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077680 02:01:20 4 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077680 02:01:20 5 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077680 02:01:20 6 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1582077680 02:01:20 7 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077680 02:01:20 8 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077680 02:01:20 9 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077680 02:01:20 10 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077680 02:01:20 11 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077680 02:01:20 12 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077680 02:01:20 13 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1582077680 02:01:20 14 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077680 02:01:20 15 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077681
1582077681 02:01:20 CPU %usr %nice %sys %iowait %irq %soft %steal %guest %gnice %idle
1582077681 02:01:21 all 0.06 0.00 0.19 0.00 0.00 0.00 0.00 0.00 0.00 99.75
1582077681 02:01:21 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077681 02:01:21 1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077681 02:01:21 2 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077681 02:01:21 3 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077681 02:01:21 4 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077681 02:01:21 5 0.00 0.00 0.99 0.00 0.00 0.00 0.00 0.00 0.00 99.01
1582077681 02:01:21 6 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077681 02:01:21 7 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077681 02:01:21 8 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077681 02:01:21 9 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077681 02:01:21 10 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077681 02:01:21 11 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077681 02:01:21 12 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077681 02:01:21 13 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077681 02:01:21 14 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1582077681 02:01:21 15 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077682
1582077682 02:01:21 CPU %usr %nice %sys %iowait %irq %soft %steal %guest %gnice %idle
1582077682 02:01:22 all 0.13 0.00 0.19 0.00 0.00 0.00 0.00 0.00 0.00 99.69
1582077682 02:01:22 0 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1582077682 02:01:22 1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077682 02:01:22 2 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077682 02:01:22 3 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077682 02:01:22 4 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077682 02:01:22 5 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077682 02:01:22 6 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077682 02:01:22 7 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077682 02:01:22 8 0.00 0.00 0.99 0.00 0.00 0.00 0.00 0.00 0.00 99.01
1582077682 02:01:22 9 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077682 02:01:22 10 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077682 02:01:22 11 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077682 02:01:22 12 0.99 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 99.01
1582077682 02:01:22 13 0.99 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 99.01
1582077682 02:01:22 14 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077682 02:01:22 15 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077683
1582077683 02:01:22 CPU %usr %nice %sys %iowait %irq %soft %steal %guest %gnice %idle
1582077683 02:01:23 all 0.19 0.00 0.19 0.00 0.00 0.00 0.00 0.00 0.00 99.62
1582077683 02:01:23 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077683 02:01:23 1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077683 02:01:23 2 0.99 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 99.01
1582077683 02:01:23 3 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1582077683 02:01:23 4 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077683 02:01:23 5 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077683 02:01:23 6 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077683 02:01:23 7 0.99 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 99.01
1582077683 02:01:23 8 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077683 02:01:23 9 1.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 98.98
1582077683 02:01:23 10 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077683 02:01:23 11 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1582077683 02:01:23 12 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077683 02:01:23 13 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1582077683 02:01:23 14 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077683 02:01:23 15 0.00 0.00 0.99 0.00 0.00 0.00 0.00 0.00 0.00 99.01
1582077684
1582077684 02:01:23 CPU %usr %nice %sys %iowait %irq %soft %steal %guest %gnice %idle
1582077684 02:01:24 all 0.13 0.00 0.13 0.00 0.00 0.00 0.00 0.00 0.00 99.75
1582077684 02:01:24 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077684 02:01:24 1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077684 02:01:24 2 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077684 02:01:24 3 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077684 02:01:24 4 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1582077684 02:01:24 5 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077684 02:01:24 6 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077684 02:01:24 7 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077684 02:01:24 8 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077684 02:01:24 9 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1582077684 02:01:24 10 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077684 02:01:24 11 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077684 02:01:24 12 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077684 02:01:24 13 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077684 02:01:24 14 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077684 02:01:24 15 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077685
1582077685 02:01:24 CPU %usr %nice %sys %iowait %irq %soft %steal %guest %gnice %idle
1582077685 02:01:25 all 0.19 0.00 0.06 0.00 0.00 0.00 0.00 0.00 0.00 99.75
1582077685 02:01:25 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077685 02:01:25 1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077685 02:01:25 2 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077685 02:01:25 3 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077685 02:01:25 4 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077685 02:01:25 5 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1582077685 02:01:25 6 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077685 02:01:25 7 0.00 0.00 0.99 0.00 0.00 0.00 0.00 0.00 0.00 99.01
1582077685 02:01:25 8 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077685 02:01:25 9 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1582077685 02:01:25 10 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077685 02:01:25 11 0.99 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 99.01
1582077685 02:01:25 12 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077685 02:01:25 13 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077685 02:01:25 14 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00
1582077685 02:01:25 15 0.99 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 99.01
1582077686
1582077686 02:01:25 CPU %usr %nice %sys %iowait %irq %soft %steal %guest %gnice %idle
1582077686 02:01:26 all 7.53 0.00 1.44 0.06 0.00 0.25 0.00 0.00 0.00 90.71
1582077686 02:01:26 0 6.93 0.00 1.98 0.00 0.00 0.00 0.00 0.00 0.00 91.09
1582077686 02:01:26 1 4.95 0.00 1.98 0.00 0.00 0.00 0.00 0.00 0.00 93.07
1582077686 02:01:26 2 7.07 0.00 2.02 0.00 0.00 0.00 0.00 0.00 0.00 90.91
1582077686 02:01:26 3 6.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 92.00
1582077686 02:01:26 4 4.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 94.00
1582077686 02:01:26 5 5.05 0.00 1.01 0.00 0.00 1.01 0.00 0.00 0.00 92.93
1582077686 02:01:26 6 11.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 87.00
1582077686 02:01:26 7 7.14 0.00 1.02 0.00 0.00 0.00 0.00 0.00 0.00 91.84
1582077686 02:01:26 8 7.14 0.00 1.02 0.00 0.00 0.00 0.00 0.00 0.00 91.84
1582077686 02:01:26 9 5.00 0.00 2.00 0.00 0.00 1.00 0.00 0.00 0.00 92.00
1582077686 02:01:26 10 13.13 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 86.87
1582077686 02:01:26 11 7.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 92.00
1582077686 02:01:26 12 9.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 88.00
1582077686 02:01:26 13 7.07 0.00 1.01 0.00 0.00 0.00 0.00 0.00 0.00 91.92
1582077686 02:01:26 14 7.00 0.00 3.00 1.00 0.00 0.00 0.00 0.00 0.00 89.00
1582077686 02:01:26 15 10.10 0.00 1.01 0.00 0.00 0.00 0.00 0.00 0.00 88.89
1582077687
1582077687 02:01:26 CPU %usr %nice %sys %iowait %irq %soft %steal %guest %gnice %idle
1582077687 02:01:27 all 11.09 0.00 4.67 0.12 0.00 0.18 0.00 0.00 0.00 83.94
1582077687 02:01:27 0 12.62 0.00 2.91 0.00 0.00 0.00 0.00 0.00 0.00 84.47
1582077687 02:01:27 1 7.69 0.00 5.77 0.00 0.00 0.00 0.00 0.00 0.00 86.54
1582077687 02:01:27 2 11.32 0.00 5.66 0.00 0.00 0.94 0.00 0.00 0.00 82.08
1582077687 02:01:27 3 7.69 0.00 5.77 0.00 0.00 0.96 0.00 0.00 0.00 85.58
1582077687 02:01:27 4 8.82 0.00 2.94 0.00 0.00 0.00 0.00 0.00 0.00 88.24
1582077687 02:01:27 5 10.58 0.00 3.85 0.00 0.00 0.00 0.00 0.00 0.00 85.58
1582077687 02:01:27 6 11.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 85.00
1582077687 02:01:27 7 10.68 0.00 3.88 0.00 0.00 0.97 0.00 0.00 0.00 84.47
1582077687 02:01:27 8 14.15 0.00 6.60 0.00 0.00 0.94 0.00 0.00 0.00 78.30
1582077687 02:01:27 9 10.48 0.00 4.76 0.00 0.00 0.95 0.00 0.00 0.00 83.81
1582077687 02:01:27 10 11.21 0.00 6.54 0.93 0.00 0.93 0.00 0.00 0.00 80.37
1582077687 02:01:27 11 7.92 0.00 3.96 0.00 0.00 0.99 0.00 0.00 0.00 87.13
1582077687 02:01:27 12 10.78 0.00 3.92 0.00 0.00 0.98 0.00 0.00 0.00 84.31
1582077687 02:01:27 13 11.88 0.00 4.95 0.00 0.00 0.00 0.00 0.00 0.00 83.17
1582077687 02:01:27 14 16.35 0.00 3.85 0.00 0.00 0.00 0.00 0.00 0.00 79.81
1582077687 02:01:27 15 17.14 0.00 4.76 0.00 0.00 0.00 0.00 0.00 0.00 78.10
1582077688
1582077688 02:01:27 CPU %usr %nice %sys %iowait %irq %soft %steal %guest %gnice %idle
1582077688 02:01:28 all 11.49 0.00 1.57 0.13 0.00 0.19 0.00 0.00 0.00 86.63
1582077688 02:01:28 0 7.07 0.00 1.01 0.00 0.00 0.00 0.00 0.00 0.00 91.92
1582077688 02:01:28 1 10.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 86.00
1582077688 02:01:28 2 13.73 0.00 0.98 0.00 0.00 0.00 0.00 0.00 0.00 85.29
1582077688 02:01:28 3 7.22 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 92.78
1582077688 02:01:28 4 11.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 87.00
1582077688 02:01:28 5 7.07 0.00 1.01 0.00 0.00 1.01 0.00 0.00 0.00 90.91
1582077688 02:01:28 6 12.50 0.00 1.92 0.96 0.00 0.00 0.00 0.00 0.00 84.62
1582077688 02:01:28 7 9.90 0.00 1.98 0.00 0.00 0.99 0.00 0.00 0.00 87.13
1582077688 02:01:28 8 11.11 0.00 2.02 0.00 0.00 0.00 0.00 0.00 0.00 86.87
1582077688 02:01:28 9 14.29 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 85.71
1582077688 02:01:28 10 13.13 0.00 3.03 0.00 0.00 0.00 0.00 0.00 0.00 83.84
1582077688 02:01:28 11 15.84 0.00 0.99 0.00 0.00 0.00 0.00 0.00 0.00 83.17
1582077688 02:01:28 12 15.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 83.00
1582077688 02:01:28 13 8.08 0.00 1.01 1.01 0.00 0.00 0.00 0.00 0.00 89.90
1582077688 02:01:28 14 12.24 0.00 2.04 1.02 0.00 0.00 0.00 0.00 0.00 84.69
1582077688 02:01:28 15 13.54 0.00 0.00 0.00 0.00 1.04 0.00 0.00 0.00 85.42
1582077689
1582077689 02:01:28 CPU %usr %nice %sys %iowait %irq %soft %steal %guest %gnice %idle
1582077689 02:01:29 all 11.36 0.00 2.34 0.06 0.00 0.19 0.00 0.00 0.00 86.05
1582077689 02:01:29 0 15.15 0.00 2.02 0.00 0.00 0.00 0.00 0.00 0.00 82.83
1582077689 02:01:29 1 10.10 0.00 2.02 0.00 0.00 0.00 0.00 0.00 0.00 87.88
1582077689 02:01:29 2 8.25 0.00 2.06 0.00 0.00 0.00 0.00 0.00 0.00 89.69
1582077689 02:01:29 3 14.85 0.00 2.97 0.00 0.00 0.00 0.00 0.00 0.00 82.18
1582077689 02:01:29 4 12.75 0.00 3.92 0.00 0.00 0.00 0.00 0.00 0.00 83.33
1582077689 02:01:29 5 10.20 0.00 2.04 0.00 0.00 0.00 0.00 0.00 0.00 87.76
1582077689 02:01:29 6 12.12 0.00 2.02 0.00 0.00 0.00 0.00 0.00 0.00 85.86
